codigo,municipio,uf,ufTabela,populacao
2516201,Sousa,Paraíba,paraiba,69444
2930808,Souto Soares,Bahia,bahia,16979
1720853,Sucupira,Tocantins,tocantins,1966
2111904,Sucupira do Norte,Maranhão,maranhao,10636
2111953,Sucupira do Riachão,Maranhão,maranhao,5660
3552304,Sud Mennucci,São Paulo,saopaulo,7718
4217758,Sul Brasil,Santa Catarina,santacatarina,2461
4126652,Sulina,Paraná,parana,2981
3552403,Sumaré,São Paulo,saopaulo,282441
2516300,Sumé,Paraíba,paraiba,16966
3305703,Sumidouro,Rio de Janeiro,riodejaneiro,15623
2614501,Surubim,Pernambuco,pernambuco,65089
2210938,Sussuapara,Piauí,piaui,6730
3552551,Suzanápolis,São Paulo,saopaulo,3963
3552502,Suzano,São Paulo,saopaulo,297637
4320859,Tabaí,Rio Grande do Sul,riograndedosul,4719
5107941,Tabaporã,Mato Grosso,matogrosso,9489
3552601,Tabapuã,São Paulo,saopaulo,12407
1304062,Tabatinga,Amazonas,amazonas,65844
3552700,Tabatinga,São Paulo,saopaulo,16496
2614600,Tabira,Pernambuco,pernambuco,28534
3552809,Taboão da Serra,São Paulo,saopaulo,289664
2930907,Tabocas do Brejo Velho,Bahia,bahia,12518
2413805,Taboleiro Grande,Rio Grande do Norte,riograndedonorte,2566
3167905,Tabuleiro,Minas Gerais,minasgerais,3750
2313104,Tabuleiro do Norte,Ceará,ceara,30697
2614709,Tacaimbó,Pernambuco,pernambuco,12874
2614808,Tacaratu,Pernambuco,pernambuco,25765
3552908,Taciba,São Paulo,saopaulo,6285
2516409,Tacima,Paraíba,paraiba,10911
5007950,Tacuru,Mato Grosso do Sul,matogrossodosul,11552
3553005,Taguaí,São Paulo,saopaulo,13859
1720903,Taguatinga,Tocantins,tocantins,16683
3553104,Taiaçu,São Paulo,saopaulo,6295
1507953,Tailândia,Pará,para,106339
4217808,Taió,Santa Catarina,santacatarina,18395
3168002,Taiobeiras,Minas Gerais,minasgerais,34132
1720937,Taipas do Tocantins,Tocantins,tocantins,2148
2413904,Taipu,Rio Grande do Norte,riograndedonorte,12279
3553203,Taiuva,São Paulo,saopaulo,5566
1720978,Talismã,Tocantins,tocantins,2793
2614857,Tamandaré,Pernambuco,pernambuco,23388
4126678,Tamarana,Paraná,parana,14797
3553302,Tambaú,São Paulo,saopaulo,23207
4126702,Tamboara,Paraná,parana,5120
2313203,Tamboril,Ceará,ceara,26251
2210953,Tamboril do Piauí,Piauí,piaui,2919
3553401,Tanabi,São Paulo,saopaulo,25967
2414001,Tangará,Rio Grande do Norte,riograndedonorte,15727
4217907,Tangará,Santa Catarina,santacatarina,8676
5107958,Tangará da Serra,Mato Grosso,matogrosso,103750
3305752,Tanguá,Rio de Janeiro,riodejaneiro,34309
2931004,Tanhaçu,Bahia,bahia,20403
2709004,Tanque d'Arca,Alagoas,alagoas,6162
2210979,Tanque do Piauí,Piauí,piaui,2765
2931053,Tanque Novo,Bahia,bahia,17366
2931103,Tanquinho,Bahia,bahia,7918
3168051,Taparuba,Minas Gerais,minasgerais,3110
1304104,Tapauá,Amazonas,amazonas,17156
4320909,Tapejara,Rio Grande do Sul,riograndedosul,24111
4126801,Tapejara,Paraná,parana,16205
4321006,Tapera,Rio Grande do Sul,riograndedosul,10584
2931202,Taperoá,Bahia,bahia,21074
2516508,Taperoá,Paraíba,paraiba,15376
4321105,Tapes,Rio Grande do Sul,riograndedosul,17300
4126900,Tapira,Paraná,parana,5539
3168101,Tapira,Minas Gerais,minasgerais,4773
3553500,Tapiraí,São Paulo,saopaulo,7807
3168200,Tapiraí,Minas Gerais,minasgerais,1875
2931301,Tapiramutá,Bahia,bahia,17010
3553609,Tapiratiba,São Paulo,saopaulo,12960
5108006,Tapurah,Mato Grosso,matogrosso,13705
